Name,AlternateName,Typ,RAJ2000,DecJ2000,Result,qual,allwise_ra_j2000,allwise_dec_j2000,query_rad,include
null1,-,-,130.2198938,-20.1233297,-,3,-,-,2.0,1
null2,-,-,130.2526742,-20.1492979,-,3,-,-,2.0,1
null3,-,-,130.2409299,-20.1449275,-,3,-,-,2.0,1
null4,-,-,130.2663972,-20.1266339,-,3,-,-,2.0,1
null5,-,-,130.2408935,-20.1021693,-,2,-,-,2.0,1
null6,-,-,130.1821574,-20.0870808,-,2,-,-,2.0,1
null7,-,-,130.2472519,-20.1023193,-,2,-,-,2.0,1
null8,-,-,130.2053401,-20.1422435,-,2,-,-,2.0,1
null9,-,-,309.7841556,-30.1086124,-,2,-,-,2.0,1
null10,-,-,309.775059,-30.104435,-,3,-,-,2.0,1
null11,-,-,309.7501408,-30.0995773,-,1,-,-,2.0,1
null12,-,-,309.7902373,-30.0934364,-,3,-,-,2.0,1
null13,-,-,100.2574905,-42.1110572,-,3,-,-,2.0,1
null14,-,-,100.2486472,-42.0961456,-,3,-,-,2.0,1
null15,-,-,100.2186578,-42.093718,-,3,-,-,2.0,1
null16,-,-,100.2079958,-42.1241369,-,2,-,-,2.0,1
null17,-,-,100.2140462,-42.0989877,-,2,-,-,2.0,1
null18,-,-,100.22303,-42.1168351,-,3,-,-,2.0,1
null19,-,-,40.2409175,-12.0991335,-,1,-,-,2.0,1
null20,-,-,40.2236702,-12.1227264,-,2,-,-,2.0,1
null21,-,-,40.2502134,-12.1018076,-,3,-,-,2.0,1
null22,-,-,40.2146688,-12.0883309,-,2,-,-,2.0,1
null23,-,-,33.9104135,-12.0982341,-,3,-,-,2.0,1
null24,-,-,33.9009451,-12.1319632,-,3,-,-,2.0,1
null25,-,-,33.9049249,-12.1154304,-,1,-,-,2.0,1
null26,-,-,33.9279287,-12.1093638,-,2,-,-,2.0,1
NPM1p64_0581,-,-,273.0399,63.4951,-,3,-,-,2.0,1
HD 165459,-,-,270.6281,58.6273,-,3,-,-,2.0,1
Bp661073,-,-,270.7901,66.4699,-,3,-,-,2.0,1
KF02T1,-,-,270.5072,66.6275,-,3,-,-,2.0,1
KF02T3,-,-,270.8411,66.569,-,3,-,-,2.0,1
KF03T1,-,-,269.4331,66.4486,-,3,-,-,2.0,1
KF03T2,-,-,269.4644,66.5175,-,3,-,-,2.0,1
KF03T4,-,-,269.7665,66.5164,-,3,-,-,2.0,1
KF05T1,-,-,269.8008,66.6933,-,3,-,-,2.0,1
KF06T1,-,-,269.4937,66.8748,-,3,-,-,2.0,1
KF06T2,-,-,269.6583,66.7812,-,3,-,-,2.0,1
KF06T3,-,-,269.7092,66.8278,-,3,-,-,2.0,1
KF08T3,-,-,268.8176,66.1699,-,3,-,-,2.0,1
KF09T1,-,-,269.846,66.0489,-,3,-,-,2.0,1
NPM1p67_0536,-,-,269.7279,67.7936,-,3,-,-,2.0,1
NPM1p68_0422,-,-,281.8324,68.2791,-,3,-,-,2.0,1
P041C,-,-,222.9925,71.7215,-,3,-,-,2.0,1
P330E,-,-,247.891,30.1464,-,3,-,-,2.0,1
HD270422,-,-,89.199,-66.6514,-,3,-,-,2.0,1
HD270467,-,-,89.551,-66.3399,-,3,-,-,2.0,1
5581475,-,-,89.5615,-66.3243,-,3,-,-,2.0,1
WOH_G642,-,-,89.8373,-66.5322,-,3,-,-,2.0,1
HD41466,-,-,90.0776,-66.2244,-,3,-,-,2.0,1
HD270485,-,-,90.2214,-66.93,-,3,-,-,2.0,1
HD271776,-,-,90.4062,-66.5889,-,3,-,-,2.0,1